Item ID,Category,Brand,Price,Color,Size,Target Customer,Description
FI001,Sweater,Zara,204.14,Yellow,M,College Student,"A stylish yellow sweater from Zara, perfect for college students."
FI002,Jeans,Levi's,407.02,Blue,XL,College Student,"A stylish blue jeans from Levi's, perfect for college students."
FI003,Shoes,Prada,486.55,Grey,L,Executive,"A stylish grey shoes from Prada, perfect for executives."
FI004,Jeans,Prada,61.71,Yellow,XS,Executive,"A stylish yellow jeans from Prada, perfect for executives."
FI005,Jacket,Levi's,431.92,Green,M,New Employee,"A stylish green jacket from Levi's, perfect for new employees."
FI006,Dress,Nike,253.36,Black,L,College Student,"A stylish black dress from Nike, perfect for college students."
FI007,Skirt,Gucci,59.99,Green,XS,College Student,"A stylish green skirt from Gucci, perfect for college students."
FI008,T-shirt,Zara,226.26,White,XL,Executive,"A stylish white t-shirt from Zara, perfect for executives."
FI009,Sweater,H&M,278.01,White,L,College Student,"A stylish white sweater from H&M, perfect for college students."
FI010,Shoes,Zara,43.14,Yellow,XL,College Student,"A stylish yellow shoes from Zara, perfect for college students."
FI011,Skirt,Nike,262.91,Green,S,College Student,"A stylish green skirt from Nike, perfect for college students."
FI012,Shoes,H&M,370.35,Grey,S,New Employee,"A stylish grey shoes from H&M, perfect for new employees."
FI013,T-shirt,Nike,273.0,Green,XS,Executive,"A stylish green t-shirt from Nike, perfect for executives."
FI014,Sweater,Adidas,66.08,Blue,XL,New Employee,"A stylish blue sweater from Adidas, perfect for new employees."
FI015,Jacket,Adidas,173.87,White,L,New Employee,"A stylish white jacket from Adidas, perfect for new employees."
FI016,Dress,Prada,24.17,Pink,XS,Executive,"A stylish pink dress from Prada, perfect for executives."
FI017,Blazer,Zara,81.08,Red,S,New Employee,"A stylish red blazer from Zara, perfect for new employees."
FI018,Shoes,Zara,120.93,Blue,S,College Student,"A stylish blue shoes from Zara, perfect for college students."
FI019,T-shirt,H&M,303.74,Green,XS,Executive,"A stylish green t-shirt from H&M, perfect for executives."
