Item ID,Category,Brand,Price,Color,Size,Target Customer,Description,Generated Description
FI001,Blazer,Zara,69.51,Yellow,S,College Student,"A stylish yellow blazer from Zara, perfect for college students.",Write a catchy product description for a yellow blazer suitable for college students.
FI002,T-shirt,Gucci,215.7,Black,S,College Student,"A stylish black t-shirt from Gucci, perfect for college students.",Write a catchy product description for a black t-shirt suitable for college students.
FI003,T-shirt,Adidas,188.46,Blue,M,Executive,"A stylish blue t-shirt from Adidas, perfect for executives.",Write a catchy product description for a blue t-shirt suitable for executives.
FI004,Shoes,Nike,223.88,Red,XL,New Employee,"A stylish red shoes from Nike, perfect for new employees.",Write a catchy product description for a red shoes suitable for new employees.
FI005,Skirt,Prada,212.98,Yellow,M,College Student,"A stylish yellow skirt from Prada, perfect for college students.",Write a catchy product description for a yellow skirt suitable for college students.
FI006,Jacket,Levi's,215.71,Pink,XS,College Student,"A stylish pink jacket from Levi's, perfect for college students.",Write a catchy product description for a pink jacket suitable for college students.
FI007,Jeans,Prada,128.29,Blue,M,College Student,"A stylish blue jeans from Prada, perfect for college students.",Write a catchy product description for a blue jeans suitable for college students.
FI008,T-shirt,Nike,303.15,Red,M,Executive,"A stylish red t-shirt from Nike, perfect for executives.",Write a catchy product description for a red t-shirt suitable for executives.
FI009,Skirt,Nike,489.02,Blue,S,New Employee,"A stylish blue skirt from Nike, perfect for new employees.",Write a catchy product description for a blue skirt suitable for new employees.
FI010,Shoes,H&M,181.49,Blue,XL,Executive,"A stylish blue shoes from H&M, perfect for executives.",Write a catchy product description for a blue shoes suitable for executives.
FI011,Shoes,Levi's,188.19,Black,M,Executive,"A stylish black shoes from Levi's, perfect for executives.",Write a catchy product description for a black shoes suitable for executives.
FI012,Skirt,Uniqlo,45.36,White,L,College Student,"A stylish white skirt from Uniqlo, perfect for college students.",Write a catchy product description for a white skirt suitable for college students.
FI013,Sweater,H&M,123.9,Pink,M,Executive,"A stylish pink sweater from H&M, perfect for executives.",Write a catchy product description for a pink sweater suitable for executives.
FI014,Shoes,Adidas,450.25,White,M,Executive,"A stylish white shoes from Adidas, perfect for executives.",Write a catchy product description for a white shoes suitable for executives.
FI015,Shoes,Adidas,108.06,Grey,M,College Student,"A stylish grey shoes from Adidas, perfect for college students.",Write a catchy product description for a grey shoes suitable for college students.
